General : Start date,"11/19/2025 9:58 AM"
General : End date,"11/19/2025 9:59 AM"
Specimen notes : Specimen note 1,"B31"
Test : Rate 1,"5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"44.10000","3.67516","24649.60938"
"44.20000","3.68340","24669.17773"
"44.30000","3.69177","24691.95508"
"44.40000","3.70013","24713.23633"
"44.50000","3.70845","24734.09570"
"44.60000","3.71687","24754.88672"
"44.70000","3.72513","24771.83203"
"44.80000","3.73350","24793.27539"
"44.90000","3.74181","24809.87695"
"45.00000","3.75010","24831.64844"
"45.10000","3.75852","24850.08203"
"45.20000","3.76681","24867.11328"
"45.30000","3.77520","24885.35547"
"45.40000","3.78349","24899.76953"
"45.50000","3.79178","24919.27930"
"45.60000","3.80015","24936.27734"
"45.70000","3.80844","24951.73047"
"45.80000","3.81688","24969.18359"
"45.90000","3.82517","24982.00391"
"46.00000","3.83351","24997.89258"
"46.10000","3.84180","25010.52539"
"46.20000","3.85009","25025.33398"
"46.30000","3.85851","25038.98047"
"46.40000","3.86680","25050.81250"
"46.50000","3.87516","25065.38867"
"46.60000","3.88348","25075.75977"
"46.70000","3.89179","25087.56836"
"46.80000","3.90016","25099.54492"
"46.90000","3.90842","25110.94141"
"47.00000","3.91684","25125.40820"
"47.10000","3.92516","25137.78516"
"47.20000","3.93352","25151.58984"
"47.30000","3.94189","25160.53711"
"47.40000","3.95015","25168.61328"
"47.50000","3.95854","25177.97070"
"47.60000","3.96678","25186.16602"
"47.70000","3.97515","25196.30273"
"47.80000","3.98352","25204.92383"
"47.90000","3.99183","25213.79883"
"48.00000","4.00025","25221.43164"
"48.10000","4.00849","25226.66211"
"48.20000","4.01683","25235.43555"
"48.30000","4.02512","25240.79688"
"48.40000","4.03343","25248.67969"
"48.50000","4.04188","25256.06836"
"48.60000","4.05017","25263.84570"
"48.70000","4.05856","25272.49805"
"48.80000","4.06685","25275.48633"
"48.90000","4.07516","25280.98828"
"49.00000","4.08350","25284.93945"
"49.10000","4.09179","25290.93945"
"49.20000","4.10018","25299.15039"
"49.30000","4.10845","25303.00000"
"49.40000","4.11684","25309.39062"
"49.50000","4.12518","25311.54688"
"49.60000","4.13345","25315.13281"
"49.70000","4.14181","25319.88086"
"49.80000","4.15010","25322.91211"
"49.90000","4.15852","25328.44531"
"50.00000","4.16688","25330.52930"
"50.10000","4.17517","25332.71875"
"50.20000","4.18354","25335.00781"
"50.30000","4.19183","25335.21094"
"50.40000","4.20020","25339.09375"
"50.50000","4.20851","25338.51172"
"50.60000","4.21683","25342.04688"
"50.70000","4.22519","25342.76758"
"50.80000","4.23346","25344.10156"
"50.90000","4.24185","25347.79297"
"51.00000","4.25011","25346.35742"
"51.10000","4.25848","25348.90234"
"51.20000","4.26685","25348.11523"
"51.30000","4.27514","25349.90234"
"51.40000","4.28350","25351.65625"
"51.50000","4.29177","25348.66016"
"51.60000","4.30016","25349.70117"
"51.70000","4.30847","25347.95703"
"51.80000","4.31679","25349.09766"
"51.90000","4.32521","25349.13086"
"52.00000","4.33350","25346.81055"
"52.10000","4.34191","25345.39648"
"52.20000","4.35018","25341.42383"
"52.30000","4.35849","25340.85742"
"52.40000","4.36681","25339.13477"
"52.50000","4.37510","25338.90039"
"52.60000","4.38351","25339.12695"
"52.70000","4.39181","25336.48242"
"52.80000","4.40017","25336.06250"
"52.90000","4.40851","25332.51367"
"53.00000","4.41678","25329.42969"
"53.10000","4.42517","25325.43555"
"53.20000","4.43348","25321.84375"
"53.30000","4.44190","25319.63867"
"53.40000","4.45016","25314.28125"
"53.50000","4.45848","25311.64844"
"53.60000","4.46687","25307.32812"
"53.70000","4.47514","25299.83789"
"53.80000","4.48350","25297.22656"
"53.90000","4.49179","25291.47266"
"54.00000","4.50016","25289.42188"
"54.10000","4.50852","25284.46289"
"54.20000","4.51679","25277.17383"
"54.30000","4.52521","25272.28906"
"54.40000","4.53342","25265.62500"
"54.50000","4.54181","25263.08203"
"54.60000","4.55013","25256.56445"
"54.70000","4.55847","25252.10938"
"54.80000","4.56688","25246.15430"
"54.90000","4.57515","25236.55664"
"55.00000","4.58349","25230.92383"
"55.10000","4.59181","25221.66602"
"55.20000","4.60012","25215.37891"
"55.30000","4.60856","25208.55664"
"55.40000","4.61683","25199.00195"
"55.50000","4.62522","25192.65039"
"55.60000","4.63346","25181.16211"
"55.70000","4.64177","25174.87500"
"55.80000","4.65014","25164.35156"
"55.90000","4.65843","25154.92383"
"56.00000","4.66685","25146.46875"
"56.10000","4.67511","25135.11523"
"56.20000","4.68348","25127.29688"
"56.30000","4.69179","25113.87695"
"56.40000","4.70008","25099.57617"
"56.50000","4.70850","25086.66016"
"56.60000","4.71676","25072.36523"
"56.70000","4.72521","25058.08984"
"56.80000","4.73352","25039.77930"
"56.90000","4.74184","25020.01172"
"57.00000","4.75018","25000.15430"
"57.10000","4.75842","24981.35938"
"57.20000","4.76683","24962.89844"
"57.30000","4.77512","24939.34766"
"57.40000","4.78354","24917.72852"
"57.50000","4.79191","24890.65039"
"57.60000","4.80015","24863.22656"
"57.70000","4.80851","24835.60352"
"57.80000","4.81673","24805.01758"
"57.90000","4.82512","24776.35547"
"58.00000","4.83348","24745.61523"
"58.10000","4.84182","24715.66406"
"58.20000","4.85021","24683.24219"
"58.30000","4.85848","24645.50195"
"58.40000","4.86687","24608.72461"
"58.50000","4.87516","24562.67773"
"58.52800","4.87753","24011.77734"
"58.53000","4.87771","23321.24023"
"58.53200","4.87791","22376.87500"
"58.53400","4.87811","21270.45898"
"58.53600","4.87829","20049.78125"
"58.53800","4.87851","18733.70508"
"58.54000","4.87874","17351.25586"
"58.54200","4.87897","15942.98633"
"58.54400","4.87922","14539.67871"
